sn,river,mile,species,length_cm,weight_g,DDT_ppm
72,TRM,300,CCATFISH,49.0,1019.0,15.0
73,TRM,300,SMBUFFALO,35.5,1300.0,1.3
74,TRM,300,SMBUFFALO,46.0,1365.0,4.8
75,TRM,300,SMBUFFALO,45.0,1437.0,5.1
76,TRM,300,SMBUFFALO,44.5,1460.0,5.1
77,TRM,300,SMBUFFALO,49.0,1671.0,4.0
78,TRM,300,SMBUFFALO,47.5,1717.0,10.0
79,TRM,305,CCATFISH,35.0,613.0,12.0
80,TRM,305,CCATFISH,51.0,353.0,22.0
81,TRM,305,CCATFISH,42.5,909.0,10.0
82,TRM,305,CCATFISH,38.0,886.0,11.0
83,TRM,305,CCATFISH,41.0,890.0,17.0
84,TRM,305,CCATFISH,47.0,1031.0,9.7
85,TRM,310,CCATFISH,45.0,1083.0,12.0
86,TRM,310,CCATFISH,45.5,864.0,4.7
87,TRM,310,CCATFISH,45.0,886.0,6.0
88,TRM,310,CCATFISH,45.0,965.0,3.8
89,TRM,310,CCATFISH,39.0,537.0,17.0
90,TRM,310,CCATFISH,40.5,630.0,12.0
91,TRM,310,SMBUFFALO,46.0,1486.0,1.4
92,TRM,310,SMBUFFALO,47.0,1743.0,6.1
93,TRM,310,SMBUFFALO,48.5,2061.0,2.8
94,TRM,310,SMBUFFALO,48.0,1707.0,4.8
95,TRM,310,SMBUFFALO,38.0,862.0,5.7
96,TRM,310,SMBUFFALO,38.5,911.0,3.3
97,TRM,315,CCATFISH,29.5,476.0,3.3
98,TRM,315,CCATFISH,42.0,743.0,3.7
99,TRM,315,CCATFISH,47.5,1128.0,9.9
100,TRM,315,CCATFISH,43.5,848.0,6.8
101,TRM,315,CCATFISH,47.5,1091.0,13.0
102,TRM,315,CCATFISH,43.5,715.0,8.8
103,TRM,320,CCATFISH,47.5,983.0,57.0
104,TRM,320,CCATFISH,51.5,1251.0,96.0
105,TRM,320,CCATFISH,49.5,1255.0,360.0
106,TRM,320,CCATFISH,47.0,1152.0,130.0
107,TRM,320,CCATFISH,47.5,1085.0,13.0
108,TRM,320,CCATFISH,47.0,1118.0,61.0
109,TRM,320,SMBUFFALO,36.0,1285.0,12.0
110,TRM,320,SMBUFFALO,34.5,1178.0,33.0
111,TRM,320,SMBUFFALO,44.5,1492.0,48.0
112,TRM,320,SMBUFFALO,46.0,1524.0,10.0
113,TRM,320,SMBUFFALO,46.0,1473.0,44.0
114,TRM,320,SMBUFFALO,32.5,520.0,0.4
115,TRM,325,CCATFISH,46.0,863.0,1100.0
116,TRM,325,CCATFISH,40.0,549.0,9.4
117,TRM,325,CCATFISH,43.5,810.0,4.1
118,TRM,325,CCATFISH,46.5,908.0,2.8
119,TRM,325,CCATFISH,43.0,804.0,0.7
120,TRM,325,CCATFISH,47.5,1179.0,14.0
121,TRM,330,CCATFISH,32.0,556.0,22.0
122,TRM,330,CCATFISH,40.5,659.0,9.1
123,TRM,330,CCATFISH,51.5,1229.0,140.0
124,TRM,330,CCATFISH,48.0,1050.0,4.2
125,TRM,330,CCATFISH,47.0,952.0,12.0
126,TRM,330,CCATFISH,41.0,826.0,2.0
127,TRM,330,SMBUFFALO,33.5,599.0,0.3
128,TRM,330,SMBUFFALO,47.0,1704.0,1.2
129,TRM,340,CCATFISH,50.0,1207.0,7.1
130,TRM,340,CCATFISH,45.0,911.0,180.0
131,TRM,340,CCATFISH,49.0,1498.0,1.5
132,TRM,340,CCATFISH,49.5,1496.0,2.4
133,TRM,340,CCATFISH,50.0,1142.0,4.3
134,TRM,340,CCATFISH,45.0,879.0,3.9
135,TRM,340,SMBUFFALO,32.5,525.0,1.0
136,TRM,340,SMBUFFALO,38.0,806.0,0.5
137,TRM,340,SMBUFFALO,38.5,694.0,2.5
138,TRM,340,SMBUFFALO,36.0,643.0,0.3
139,TRM,345,LMBASS,26.5,514.0,0.6
140,TRM,345,LMBASS,23.5,358.0,2.0
141,TRM,345,LMBASS,30.0,856.0,2.2
142,TRM,345,LMBASS,29.0,793.0,7.4
143,TRM,345,LMBASS,17.5,173.0,0.4
144,TRM,345,LMBASS,36.0,1433.0,1.9
